omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
2.245266476755460733e-02 6.819601835859393191e+01 3.042659341704179621e+00 1.191184833488689587e-01 9.672063416917467960e-01 7.879396542660149549e+00 9.985475917502669718e-01 9.980916672739863493e-01 1.003650353002884632e+00 9.951631222606920346e-01 9.973266979848794955e-01 1.871310606648860647e-02
2.252751186480428380e-02 6.872186444243432391e+01 3.051100395743724825e+00 1.179050453458306003e-01 9.711354509344813923e-01 8.234113534557213399e+00 9.990865586175228241e-01 9.986170660313055114e-01 1.007658925334359745e+00 9.970732146634064819e-01 1.000349666913945557e+00 3.194408732415156011e-03
2.253164302406268985e-02 6.779301339722124453e+01 3.051123679043351355e+00 1.191986070715914808e-01 9.654756285605132771e-01 7.817464233895867309e+00 1.003016360670065721e+00 1.001276997128902613e+00 1.002364878005140625e+00 9.995923901769644404e-01 1.000959353171466226e+00 4.793966453355962692e-02
2.250029247005565225e-02 6.834684170498704248e+01 3.050503363437702120e+00 1.188110733321161849e-01 9.682396450531555177e-01 7.971903397567003502e+00 1.001207603123165590e+00 9.997978027540581625e-01 1.002115031888417107e+00 9.948775790047720280e-01 9.994782163781661399e-01 1.608750824853913061e-02
2.248436341161195659e-02 6.824157548887636437e+01 3.048420970385243844e+00 1.190653041821593955e-01 9.680684621803253842e-01 8.103653390614283580e+00 9.984527644440386318e-01 9.959016913009133276e-01 1.003303159606667494e+00 9.976793688166356588e-01 1.003642128949808088e+00 1.304743421262515198e-02
2.245894584560135382e-02 6.838042439240183512e+01 3.074732153881979624e+00 1.188414345348328405e-01 9.713562227852128306e-01 9.301696541833715415e+00 9.990865742025188956e-01 9.991560893696903589e-01 1.003648030843322436e+00 9.954778478095843708e-01 9.974334240736183466e-01 6.175347561689255305e-03
2.227152594523966120e-02 6.810592758600316188e+01 3.041358728085691965e+00 1.183460420731689416e-01 9.748572129931575292e-01 7.930275052580521233e+00 9.995939689120323379e-01 9.999394898091846784e-01 1.001441579113102609e+00 1.000051475470858486e+00 9.987010800139995981e-01 3.067314854370231658e-02
2.255169934091808687e-02 6.855000103890503738e+01 3.062351924855975849e+00 1.186600205740726277e-01 9.693397943970556430e-01 8.513700843653438710e+00 1.001156778310688056e+00 1.001105548084036734e+00 1.004725811977738470e+00 1.001697623871996790e+00 1.000003084601033709e+00 7.819885729743861202e-03
2.252038656878838432e-02 6.816440452194792954e+01 3.052831533231564975e+00 1.185845330259274744e-01 9.717908340442458215e-01 8.075967063627281561e+00 1.002422514268948461e+00 1.000726676967634621e+00 1.000192261096069624e+00 9.989109271294446257e-01 1.001701901427814789e+00 5.307422715141411201e-02
2.239710433082054558e-02 6.834237275104918297e+01 3.037838591527906917e+00 1.187659276540449504e-01 9.739944360811783053e-01 7.466570658583741249e+00 1.001467518306615068e+00 1.001678624032538822e+00 1.001250524076243709e+00 1.000635309983513022e+00 9.994805807397727504e-01 3.049771722163222617e-03
2.247982455959745066e-02 6.848262408539039825e+01 3.034714386972677591e+00 1.181066143367787841e-01 9.661074470313973928e-01 6.718901112077342752e+00 1.004833269146485408e+00 1.004531404537703398e+00 1.003239280114104570e+00 1.002826306614536200e+00 1.005092586526157072e+00 2.118927789844065202e-03
2.264855003348338613e-02 6.866850439688158758e+01 3.058336290631774812e+00 1.181054099516913036e-01 9.698712386464199975e-01 8.068014335308621554e+00 1.004160792529436019e+00 1.003646556385253685e+00 9.989408571961984062e-01 1.000191350760466502e+00 1.004598617950945405e+00 3.506204397428150030e-03
2.254404148094515947e-02 6.857012900853239046e+01 3.087150127728965465e+00 1.176894692630408717e-01 9.743178834721201165e-01 9.700630012671048519e+00 1.001803978292724162e+00 1.002266471287307725e+00 1.001280976700898329e+00 9.997661211189706743e-01 1.007768561444875921e+00 4.308365628159060989e-02
2.250342883314177325e-02 6.851258225470233754e+01 3.060415157704538203e+00 1.177745585060963329e-01 9.700159446074035907e-01 8.717838835647565787e+00 1.000025183840856480e+00 9.986197700661272325e-01 1.001577650963175969e+00 9.965987533648804630e-01 9.984266929252445522e-01 4.458004192870502341e-02
2.241709342729599277e-02 6.837128253598812933e+01 3.045260937639799437e+00 1.183846525501626307e-01 9.772988152625269320e-01 7.816849600015790323e+00 1.000835612728152801e+00 1.002764647851855706e+00 1.001193984666566283e+00 9.954380041010802982e-01 1.004974078470959098e+00 1.666936970186184627e-02
2.252802757481167997e-02 6.876551194594185290e+01 3.065954596351427419e+00 1.176719403284224724e-01 9.747664974011387429e-01 8.709740269614117736e+00 1.002674870076646352e+00 1.000025406530349770e+00 1.001134333280408795e+00 1.000836333578007054e+00 1.003794032369851541e+00 7.792140239054862194e-03
2.251727071126346374e-02 6.843622374158938726e+01 3.058270239015562275e+00 1.190467975247537780e-01 9.713634122547435412e-01 8.586126761256497986e+00 1.000302451749056853e+00 9.993767005408585868e-01 1.001535836679812386e+00 9.950566051861905459e-01 9.978742335928207918e-01 1.449956506635503048e-04
2.257888417438550996e-02 6.848079199994826638e+01 3.040038312487197025e+00 1.186226959905214290e-01 9.674727333339728785e-01 7.467915500871048273e+00 1.000334557687416970e+00 9.980628581146101519e-01 1.003391014920012703e+00 1.000097311121017185e+00 9.999164473444961398e-01 8.903896437040032322e-03
2.246883193912046356e-02 6.846146634943731613e+01 3.079809619914565477e+00 1.180816041170770492e-01 9.721859428945086590e-01 9.356716729541064481e+00 1.002611772720410022e+00 1.003342526672519774e+00 9.997216294167985406e-01 1.000143591210099991e+00 1.004641238443648721e+00 1.692512230292751024e-02
2.241803792172523263e-02 6.812212208827237703e+01 3.040554553647497826e+00 1.189376649530661523e-01 9.718514346275471949e-01 7.619419086704484201e+00 1.000347909979434347e+00 1.001206277948095691e+00 1.005595451794824680e+00 9.968532195483078562e-01 1.007739095015200315e+00 1.040306522771081849e-02
2.247334290729196410e-02 6.852435058999672890e+01 3.035889226099793170e+00 1.181695595531694759e-01 9.715312436114366124e-01 7.477383451289106198e+00 9.993436556924057967e-01 9.974181618917178360e-01 1.001997707684375349e+00 9.945971589971219773e-01 9.990129380671359804e-01 1.198981546851276246e-02
2.254566052923506064e-02 6.843125678263160694e+01 3.063806295640071564e+00 1.173394109052928874e-01 9.766061552616451813e-01 8.603905870809480660e+00 1.003797546198454516e+00 1.002468765307289233e+00 1.006218176932814012e+00 1.001288603961520973e+00 1.001513486654640905e+00 5.863208751302609323e-02
2.239237373476967580e-02 6.897737916058824226e+01 3.074178407143973946e+00 1.171207093701164548e-01 9.752356078113424420e-01 9.545863783564005445e+00 9.996467860339196543e-01 9.963926126956635931e-01 1.002496497737449310e+00 9.955998670585473054e-01 9.972534211455759134e-01 1.950966097065415586e-02
2.238617126684652042e-02 6.874218229478765352e+01 3.054660803897832455e+00 1.177086849474212882e-01 9.739026361882994198e-01 8.386945293984263472e+00 1.001595660315634628e+00 9.993654683616736145e-01 1.001875120112343254e+00 9.995058680319331978e-01 9.991823517977657110e-01 3.307374578218408236e-04
2.230923753299161524e-02 6.810014930956715773e+01 3.037634172992782045e+00 1.193675364283016960e-01 9.692994650860708994e-01 7.396759598312872441e+00 1.000488453736324335e+00 1.000746266161669729e+00 1.004109780734776081e+00 1.000116679090382377e+00 1.002529574504585685e+00 2.346452715439918148e-04
2.248268963306600254e-02 6.856996119807737955e+01 3.057025092413658829e+00 1.180598901531682288e-01 9.672929339075889699e-01 8.466655915243133990e+00 9.994914093521783949e-01 9.983811448634369867e-01 1.004397158769662957e+00 9.961519619036872664e-01 9.963694883107575562e-01 1.492094776100728187e-02
2.243500788440611765e-02 6.831461110386067048e+01 3.074662207441349882e+00 1.188423209895062560e-01 9.710682297035446719e-01 9.344031308568739647e+00 1.001100314267185931e+00 9.974702370831841636e-01 1.003885367327166822e+00 9.961102479247448960e-01 9.955100427485031878e-01 2.253349570537910643e-02
2.252767114162031181e-02 6.805107045426231593e+01 3.025493389001051359e+00 1.196501080610474776e-01 9.744024948617472370e-01 6.592935453167356741e+00 1.002505848190790694e+00 1.003903464321203254e+00 1.003375734684315512e+00 1.003209100076280169e+00 1.000382029760787495e+00 2.702834570465181049e-03
2.246750920628100279e-02 6.832838106908461384e+01 3.064269505138527805e+00 1.183178806437221176e-01 9.700417362254305509e-01 8.674421605442228511e+00 1.001761193390443783e+00 9.993952224185360667e-01 1.005354406636615128e+00 9.974482535291253615e-01 1.004866036752926073e+00 2.991078832285248151e-02
2.243539166340722049e-02 6.852357580280524019e+01 3.058301377608342531e+00 1.176696522606421602e-01 9.755588841684421642e-01 8.869216424208776317e+00 9.993897333452185228e-01 9.980094424687601107e-01 1.007042684736528360e+00 9.957462576777149632e-01 1.000370015370811494e+00 2.194840359225181878e-02
2.239698909188062026e-02 6.844741069173640824e+01 3.047059977411424647e+00 1.178842917388453759e-01 9.697379621826168750e-01 8.080528832982153631e+00 9.995959140608283722e-01 9.988123202768747211e-01 1.005951589965098369e+00 9.973326466242742327e-01 1.004620330419121021e+00 2.640727691733186708e-02
2.233543725605232830e-02 6.834839874692994499e+01 3.045032397328538032e+00 1.183737925311217076e-01 9.718346996646928249e-01 8.156108914095739237e+00 9.983031909469015641e-01 9.964639500965554175e-01 1.006461645808983674e+00 9.984859365167106926e-01 9.963951818556833206e-01 2.313267439872159631e-02
2.246880015644225556e-02 6.835282494380558660e+01 3.068839160236052521e+00 1.182341240648543956e-01 9.693571176480447749e-01 9.158193535542888952e+00 9.995109201779412977e-01 9.977029730357525050e-01 1.004705517871866682e+00 9.947572697474639236e-01 1.002585218547521695e+00 2.961980201781296354e-02
2.246191066453034207e-02 6.808041492842983189e+01 3.072753246608116662e+00 1.184372409733300130e-01 9.731050101386725659e-01 9.129127836210273017e+00 1.002185000552657135e+00 9.998454063304075268e-01 1.000964019324065646e+00 1.000579554252950309e+00 1.004289553447306860e+00 6.088114275963018435e-02
2.247198606192726475e-02 6.811349059461959143e+01 3.047605096589123264e+00 1.194105752108489404e-01 9.705451487609891847e-01 7.721416151678566209e+00 1.002656550423004056e+00 1.001639836939579808e+00 1.003924746859286454e+00 1.000441207927200038e+00 1.003317871918579796e+00 1.316813310769145325e-02
2.243814730978813121e-02 6.820574384670189261e+01 3.058145694437807371e+00 1.183141965359552766e-01 9.681088584829139476e-01 8.297142950372304426e+00 1.000937243233921192e+00 9.987579224383246190e-01 1.007719697141453707e+00 1.000648283856470089e+00 1.002029303653213077e+00 3.942700507940963967e-02
2.246017096146929459e-02 6.861306028173942195e+01 3.052711186894031314e+00 1.174400908122896769e-01 9.721640769561713524e-01 7.963094519810876903e+00 1.005243684193765308e+00 1.002828277259107947e+00 1.002789205635190140e+00 9.977184684839378592e-01 1.009056055711661681e+00 3.433981414258086007e-02
2.249553630632114554e-02 6.866231631163691418e+01 3.061315753498063064e+00 1.180545416176558282e-01 9.691425386976464385e-01 8.374005094529339388e+00 1.002997738211324208e+00 1.001609113620997471e+00 1.007730510559130988e+00 9.985004939599768647e-01 1.007038822167807046e+00 2.757740083021263753e-03
2.239337547135966319e-02 6.835314237079555255e+01 3.028768137116975456e+00 1.185808012540092993e-01 9.739052286278071513e-01 7.073177104245040425e+00 1.001213217247719722e+00 9.989221956398859348e-01 1.004108095421733848e+00 9.981457562644083792e-01 1.005149106151457916e+00 9.582374954775102135e-03
2.252994913385105921e-02 6.851731696564733909e+01 3.047760364679179546e+00 1.184032751264942063e-01 9.708668182415493009e-01 7.740461502021625861e+00 1.003706419261166216e+00 1.001782291623924959e+00 1.000933819829439742e+00 9.953583757518983388e-01 1.007858959995922898e+00 6.150178718639940159e-03
