logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -5.002428722279754584e+04 -5.003027993708424037e+04 1.824999999999999956e+00
-5.003027993708424037e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -4.987217085783249058e+04 -4.987816607211918017e+04 8.299999999999999600e-01
-4.987816607211918017e+04 nan -5.000000000000000104e-03 4.000000000000000000e+02 -4.707685357752668642e+04 -4.708285129181337834e+04 1.314999999999999947e+00
-4.708285129181337834e+04 nan -7.499999999999999722e-03 4.000000000000000000e+02 -4.453846955787397019e+04 -4.454446977216066443e+04 1.020000000000000018e+00
-4.454446977216066443e+04 9.459451286151927434e+02 -1.000000000000000021e-02 4.000000000000000000e+02 -4.222686306531693117e+04 -4.223286577960362047e+04 1.625000000000000000e+00
-4.223286577960362047e+04 6.390819872147177421e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -4.189649404581452109e+04 -4.190249926010121271e+04 1.215000000000000080e+00
-4.190249926010121271e+04 7.240385557439025206e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -3.921834806105383177e+04 -3.922435577534052572e+04 9.250000000000000444e-01
-3.922435577534052572e+04 1.706877668277825023e+03 -1.750000000000000167e-02 4.000000000000000000e+02 -3.839006541294557974e+04 -3.839607562723226874e+04 1.070000000000000062e+00
-3.839607562723226874e+04 9.640303250267633075e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -3.801124188308088924e+04 -3.801725459736758057e+04 1.925000000000000044e+00
-3.801725459736758057e+04 4.436632016949036483e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -3.731724542656934500e+04 -3.732326064085603866e+04 1.479999999999999982e+00
-3.732326064085603866e+04 4.297065956192137719e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -3.730055240146726283e+04 -3.730657011575395154e+04 1.199999999999999956e+00
-3.730657011569753377e+04 3.718787850966887731e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -3.716499566604028223e+04 -3.717101588032697327e+04 1.100000000000000006e-01
-3.717101588032697327e+04 5.099792719551110309e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -3.709095454877588054e+04 -3.709697726306257391e+04 2.800000000000000266e-01
-3.709697726306257391e+04 3.596690557958206824e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -3.615281565345272247e+04 -3.615884086773941090e+04 6.500000000000000222e-02
-3.615884086773941090e+04 4.517607075372408758e+02 -3.499999999999999639e-02 4.000000000000000000e+02 -3.568310127771249245e+04 -3.568912899199918320e+04 6.400000000000000133e-01
-3.568912899199918320e+04 6.002098232922412535e+02 -3.749999999999999861e-02 4.000000000000000000e+02 -3.565437709290717612e+04 -3.566040730719386920e+04 3.699999999999999956e-01
-3.566040730719386920e+04 1.359551558442069847e+02 -4.000000000000000083e-02 4.000000000000000000e+02 -3.550860785879968898e+04 -3.551464057308637712e+04 8.500000000000000611e-02
-3.551464057308637712e+04 1.767760110151296544e+02 -4.250000000000000305e-02 4.000000000000000000e+02 -3.527540020489216113e+04 -3.528143541917885159e+04 8.399999999999999689e-01
-3.528143541917885159e+04 2.561506350178872822e+02 -4.500000000000000527e-02 4.000000000000000000e+02 -3.525805966705292667e+04 -3.526409738133961946e+04 4.099999999999999756e-01
-3.526409738131009362e+04 2.493261513348432459e+02 -4.750000000000000749e-02 4.000000000000000000e+02 -3.454882630735758721e+04 -3.455486652164427505e+04 1.600000000000000033e-01
-3.455486652164427505e+04 4.677705681087063567e+02 -5.000000000000000971e-02 4.000000000000000000e+02 -3.373814876428009302e+04 -3.374419147856678319e+04 1.239999999999999991e+00
-3.374419147856678319e+04 6.977033051160957484e+02 -5.250000000000001193e-02 4.000000000000000000e+02 -3.312323947734382091e+04 -3.312928469163051341e+04 7.600000000000000089e-01
-3.312928469163051341e+04 8.785386810891537834e+02 -5.500000000000001416e-02 4.000000000000000000e+02 -3.145544787491600073e+04 -3.146149558920269192e+04 3.699999999999999956e-01
-3.146149558920269192e+04 8.225531677089396680e+02 -5.750000000000001638e-02 4.000000000000000000e+02 -3.145001752165191647e+04 -3.145606773593860635e+04 4.349999999999999978e-01
-3.145606335304228560e+04 6.226561354569948890e+02 -6.000000000000001860e-02 4.000000000000000000e+02 -3.137999357126821269e+04 -3.138604628555490490e+04 1.725000000000000089e+00
-3.138604628555490490e+04 4.772232621010847424e+02 -6.250000000000001388e-02 4.000000000000000000e+02 -3.111042920529083131e+04 -3.111648441957752220e+04 1.709999999999999964e+00
-3.111648441957752220e+04 1.007053442229443334e+02 -6.500000000000001610e-02 4.000000000000000000e+02 -3.063951111868119915e+04 -3.064556883296788874e+04 1.905000000000000027e+00
-3.064556883296788874e+04 2.673123491201434945e+02 -6.750000000000001832e-02 4.000000000000000000e+02 -3.036742785180814462e+04 -3.037348806609483654e+04 9.599999999999999645e-01
-3.037348806609483654e+04 2.176886226039914618e+02 -7.000000000000002054e-02 4.000000000000000000e+02 -3.012667748171224594e+04 -3.013274019599893654e+04 1.570000000000000062e+00
-3.013274019599893654e+04 1.602934432080762974e+02 -7.250000000000002276e-02 4.000000000000000000e+02 -2.997071452316727300e+04 -2.997677973745396594e+04 8.599999999999999867e-01
-2.997677973745396594e+04 1.168940614558297710e+02 -7.500000000000002498e-02 4.000000000000000000e+02 -2.969951583502438734e+04 -2.970558354931107897e+04 9.599999999999999645e-01
-2.970558354931107897e+04 2.134428760299164480e+02 -7.750000000000002720e-02 4.000000000000000000e+02 -2.942240480132969969e+04 -2.942847501561639001e+04 6.199999999999999956e-01
-2.942847501561639001e+04 3.532695101602777186e+02 -8.000000000000002942e-02 4.000000000000000000e+02 -2.941615822548946380e+04 -2.942223093977615645e+04 1.324999999999999956e+00
-2.942222899973485619e+04 3.128800307982825188e+02 -8.250000000000003164e-02 4.000000000000000000e+02 -2.935534606257450287e+04 -2.936142127686119420e+04 1.949999999999999956e+00
