weight logl omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
0.000000000000000000e+00 -5.002428722279754584e+04 2.031952561937748480e-02 7.710689861312384608e+01 3.181293144657324046e+00 1.253572077516443284e-01 1.019948192005673659e+00 6.435714126311514960e+00 9.978222294019547522e-01 9.904338371789216389e-01 9.027820932162726741e-01 9.914457013179504008e-01 1.028194915203597626e+00 1.883632293233322985e-01
0.000000000000000000e+00 -4.987217085783249058e+04 2.232681096652338465e-02 6.453490208082415336e+01 3.182846076214506326e+00 1.011865185701983083e-01 9.402437651795410023e-01 4.588359154289042507e+00 9.947210605738252553e-01 9.893585597356598926e-01 1.083051092793665848e+00 9.935555591540703446e-01 9.710181984546798484e-01 4.631876942328509716e-02
0.000000000000000000e+00 -4.707685357752668642e+04 2.433796801758301293e-02 7.369159130139226477e+01 3.232660678899224926e+00 1.384717203426581444e-01 9.939289351222692082e-01 5.727444571437639631e+00 1.001163434026321575e+00 9.857825245692711791e-01 9.313275429877493350e-01 9.982648831461355954e-01 9.998982713982940140e-01 5.386086107967194003e-01
0.000000000000000000e+00 -4.453846955787397019e+04 2.168430485089691689e-02 6.812294756086225789e+01 3.208199459001088716e+00 1.061993289050709027e-01 1.016978863161203339e+00 4.103864857841243996e+00 9.930765232394753728e-01 9.869383695742866003e-01 9.407021342983185042e-01 9.884295509220369924e-01 9.924750530432552287e-01 5.650939115481170422e-02
0.000000000000000000e+00 -4.222686306531693117e+04 2.125011860150474372e-02 7.534590821278595740e+01 3.142730305856658912e+00 1.349232178845314045e-01 9.629748357993282992e-01 7.011581565387833948e+00 9.985352130243398960e-01 9.904411627887836911e-01 9.000768569743184955e-01 9.856722806471218679e-01 9.851389833225844272e-01 3.121410504266542985e-01
0.000000000000000000e+00 -4.189649404581452109e+04 2.114731668048391508e-02 7.442717649836900762e+01 3.196317036943461254e+00 1.327168793681738901e-01 9.488380713470614403e-01 8.513993692884342934e+00 9.911408580165381732e-01 1.001466090613610138e+00 9.088488433925202559e-01 9.946380193089097155e-01 9.898261393261816865e-01 4.293120259894129820e-01
0.000000000000000000e+00 -3.921834806105383177e+04 2.110010187570400542e-02 7.599751170120929089e+01 3.199728944416832199e+00 1.109189072038892498e-01 9.474369061409028125e-01 5.237954861225119885e+00 9.894899723889695187e-01 1.011848702420648172e+00 9.584263844291081025e-01 1.005173149873272997e+00 9.901805755635983974e-01 5.612969556348895717e-01
0.000000000000000000e+00 -3.839006541294557974e+04 2.068064516037607797e-02 7.712396572596287569e+01 3.122135561381022661e+00 1.273513161316557063e-01 9.889681058104098366e-01 5.287792555090730318e+00 9.939808470282021080e-01 9.972178852513052805e-01 1.050587635576883283e+00 1.021212438807767464e+00 9.823267124280773421e-01 3.712722694492481268e-01
0.000000000000000000e+00 -3.801124188308088924e+04 2.180218426291819639e-02 6.502375254184303799e+01 3.191750264284427097e+00 1.014356865700243165e-01 1.025419095793220770e+00 5.094369706194473935e+00 9.971189601735435115e-01 1.010729372746018706e+00 9.515914746731682916e-01 9.887079182580196246e-01 9.790473324220199114e-01 5.164003474815657135e-01
0.000000000000000000e+00 -3.731724542656934500e+04 2.196254440235490338e-02 7.454903537408394243e+01 3.163811574813956806e+00 1.337349059672521823e-01 9.703820723383839164e-01 6.544085058216713158e+00 9.888984379095547839e-01 1.013347259705748460e+00 1.000298292149919277e+00 9.812135796682391886e-01 9.848485361741804445e-01 5.337236681875575650e-01
0.000000000000000000e+00 -3.730055240146726283e+04 2.243900281909957939e-02 7.595280176856768151e+01 3.234512121575388033e+00 1.059396601800825510e-01 9.417501669128530706e-01 4.436195763473442355e+00 9.911615604498599241e-01 1.000353825393806684e+00 9.600871228616864039e-01 1.015846389669214478e+00 9.825550823894479979e-01 2.819598283800353600e-01
0.000000000000000000e+00 -3.716499566604028223e+04 2.343144315038483277e-02 7.293948943519021100e+01 3.214298228281125880e+00 1.390523402531866071e-01 9.940005989674616238e-01 6.192812541360286360e+00 9.884662128173502538e-01 9.984993540500036735e-01 1.002365956286508597e+00 1.014459397049872535e+00 9.673653233062009527e-01 3.928838582409133751e-01
0.000000000000000000e+00 -3.709095454877588054e+04 2.127475795199220560e-02 7.725128041874293672e+01 2.969254127394779452e+00 1.319213000330178853e-01 9.677663325443108810e-01 8.224563628856920161e+00 9.982333412877315570e-01 9.988363365154950824e-01 9.323951690240525059e-01 1.003559575162260575e+00 9.741099074261343471e-01 4.484732640602591691e-01
0.000000000000000000e+00 -3.615281565345272247e+04 2.322432320451698132e-02 7.440968821843252101e+01 3.160396272462486777e+00 1.368657285983180816e-01 1.013520962898907030e+00 4.437536531830515329e+00 9.964735591625530908e-01 9.876448774544023257e-01 1.052998077871020177e+00 9.877059031613670825e-01 9.952586096571236496e-01 3.829122519020121129e-01
0.000000000000000000e+00 -3.568310127771249245e+04 2.026971598822775375e-02 7.755705860280410491e+01 3.066041837422241567e+00 1.234854428300495577e-01 9.352210999501288091e-01 1.092042789692229299e+01 9.877089593007035706e-01 9.939904883840177119e-01 9.343175601413136189e-01 9.879818138750539047e-01 9.698990725554412773e-01 5.461361599802202482e-01
0.000000000000000000e+00 -3.565437709290717612e+04 2.010628390961850115e-02 7.632710636548141281e+01 3.156179366187777280e+00 1.292291653871948665e-01 9.598718826781548197e-01 8.204781345474152943e+00 9.994272199683992275e-01 9.900037402803225639e-01 1.087742344740489475e+00 9.914716950358020142e-01 9.761711439210153385e-01 3.610025158225804165e-01
0.000000000000000000e+00 -3.550860785879968898e+04 2.070706504158435768e-02 7.252394469502982588e+01 3.117190560516905684e+00 1.345504330005933280e-01 1.019099413969072554e+00 4.717939281492986581e+00 1.008101084402340586e+00 9.889327891458590258e-01 9.806029360037472609e-01 1.012508472545503135e+00 9.918464855020707738e-01 4.902010881527470998e-01
0.000000000000000000e+00 -3.527540020489216113e+04 2.070694876730568706e-02 7.460539235000055669e+01 3.158961256551086283e+00 1.348228896878301830e-01 1.007939533223420447e+00 1.022822138231558498e+01 1.003491310127524683e+00 9.862018265125430672e-01 1.031907681816603084e+00 9.900671477592082326e-01 1.016076109576313558e+00 4.977117726177566204e-01
0.000000000000000000e+00 -3.525805966705292667e+04 2.094662449031133022e-02 6.829962744135423236e+01 3.225668598629896522e+00 1.007903556200376860e-01 1.007942344383685240e+00 6.527228296126530438e+00 9.964253213042297830e-01 9.864757278798480522e-01 9.875989921605968780e-01 1.021500616604913869e+00 1.018919302782228753e+00 3.426409169626025153e-01
0.000000000000000000e+00 -3.454882630735758721e+04 2.137816553963168067e-02 7.436864679215688057e+01 3.111672475009882533e+00 1.349109986954308005e-01 1.009967404647331701e+00 7.908820149528367871e+00 9.993636122848595926e-01 9.934228834217625481e-01 9.237528958495033748e-01 9.796937369816852703e-01 1.014641150050809681e+00 3.735445258460134421e-01
0.000000000000000000e+00 -3.373814876428009302e+04 2.158528254019897313e-02 7.599333469281725684e+01 2.990176913976165363e+00 1.294833595936114856e-01 9.387112049973589389e-01 1.141366976640254904e+01 9.988907154321785553e-01 1.009750737969423717e+00 9.420092275800580062e-01 1.020629457448391175e+00 1.022427244533642865e+00 5.850141571690581355e-01
0.000000000000000000e+00 -3.312323947734382091e+04 2.122539966841501327e-02 7.661168916662722950e+01 3.171888958141285908e+00 1.161716590726109555e-01 9.591496068015749055e-01 5.112120344689605744e+00 1.007226420379045750e+00 1.011099661410969741e+00 9.592687148019602983e-01 1.013531488333143216e+00 1.036146200828806263e+00 4.783516698525109301e-01
0.000000000000000000e+00 -3.145544787491600073e+04 2.011893332782771146e-02 7.429898674375957057e+01 3.101366350302235730e+00 1.326844604987577614e-01 9.724800393486915384e-01 5.844594147885421087e+00 9.913207348516244188e-01 1.012469545572470597e+00 1.064288694361089638e+00 1.018888953901574634e+00 9.757151015376529513e-01 3.652740864804826515e-01
