weight logl omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
0.000000000000000000e+00 -5.002428722279754584e+04 6.390512387549718287e-02 9.362070437945606560e-01 8.036946990209261621e-01 6.339301937911077101e-01 9.086199273243055208e-01 3.044642657889393700e-01 4.128891760781909781e-01 1.811279059640545919e-01 1.391046608136303764e-02 3.094810983953313333e-01 8.878255186189474291e-01 3.139387155388871919e-01
0.000000000000000000e+00 -4.987217085783249058e+04 4.653621933046767634e-01 3.820729148743995385e-02 8.081316463271607242e-01 2.966296425495773548e-02 1.840342289049177182e-01 7.354489428613031343e-02 2.888424229530081044e-01 1.452853245219969391e-01 9.152554639683290194e-01 3.564712506474460030e-01 1.013507352775768755e-01 7.719794903880849990e-02
0.000000000000000000e+00 -4.707685357752668642e+04 8.675936035166019744e-01 6.922565215280185313e-01 9.504590825692145195e-01 9.617930085664531115e-01 6.720812283842656498e-01 2.159305714297049539e-01 5.465373610528591053e-01 2.608415230903982085e-02 1.566377149387464529e-01 4.613559720742873571e-01 4.986007069916634782e-01 8.976810179945323709e-01
0.000000000000000000e+00 -4.453846955787397019e+04 3.368609701793835454e-01 2.944962543473044203e-01 8.805698828602533945e-01 1.549832226267723323e-01 8.816260287382123861e-01 1.298310723015549950e-02 2.230609295790131341e-01 6.461231914288545486e-02 2.035106714915925208e-01 2.423062566155232966e-01 3.964931642813649404e-01 9.418231859135284267e-02
0.000000000000000000e+00 -4.222686306531693117e+04 2.500237203009485487e-01 8.104220151989964815e-01 6.935151595904543997e-01 8.730804471132849187e-01 3.906803254484387811e-01 3.764476956734792434e-01 4.414085209735942872e-01 1.813720929594561104e-01 3.842848715924773728e-04 1.808971190895732883e-01 2.955843648223442921e-01 5.202350840444238678e-01
0.000000000000000000e+00 -4.189649404581452109e+04 2.294633360967828217e-01 7.447983213120715762e-01 8.466201055527463604e-01 8.179219842043471411e-01 2.621642849732850333e-01 5.642492116105428668e-01 1.456343206615261510e-01 5.488696871203408989e-01 4.424421696260116832e-02 3.805794946305045556e-01 3.600569370864048491e-01 7.155200433156883033e-01
0.000000000000000000e+00 -3.921834806105383177e+04 2.200203751408011943e-01 8.569651215149497459e-01 8.563684126195201252e-01 2.729726800972311906e-01 2.494264194627522357e-01 1.547443576531399856e-01 7.959889555877863732e-02 8.949567473549390195e-01 2.921319221455404014e-01 6.152149192265707889e-01 3.649322635983265339e-01 9.354949260581493231e-01
0.000000000000000000e+00 -3.839006541294557974e+04 1.361290320752156502e-01 9.374261232830627399e-01 6.346730325172080800e-01 6.837829032913926852e-01 6.269827800946349283e-01 1.609740693863412897e-01 2.592338811280840982e-01 4.072628417101771259e-01 7.529381778844158601e-01 9.724373899280045475e-01 2.569011338112417997e-01 6.187871157487468965e-01
0.000000000000000000e+00 -3.801124188308088924e+04 3.604368525836393333e-01 7.312518156021741156e-02 8.335721836697913556e-01 3.589216425060781646e-02 9.583554163020070460e-01 1.367962132743092418e-01 3.847584069417381292e-01 8.576457582006290492e-01 2.579573733658412360e-01 2.485059745661380992e-01 2.117927430814284806e-01 8.606672458026095596e-01
0.000000000000000000e+00 -3.731724542656934500e+04 3.925088804709805368e-01 7.535025267202817290e-01 7.537473566113057633e-01 8.433726491813043902e-01 4.580188394398532203e-01 3.180106322770891447e-01 5.593751638218824596e-02 9.449086568582859558e-01 5.014914607495964960e-01 8.159420196523714530e-02 2.915892183518631331e-01 8.895394469792626824e-01
0.000000000000000000e+00 -3.730055240146726283e+04 4.878005638199155447e-01 8.537715548976912983e-01 9.557489187868232206e-01 1.484915045020637203e-01 1.977287901168456319e-01 5.452447043418029438e-02 1.464624179943946336e-01 5.117941797935615655e-01 3.004356143084320196e-01 8.529262732564448779e-01 2.600423987544419058e-01 4.699330473000589148e-01
0.000000000000000000e+00 -3.716499566604028223e+04 6.862886300769662773e-01 6.385349596564431351e-01 8.979949379460745451e-01 9.763085063296649269e-01 6.727327178860140755e-01 2.741015676700357950e-01 3.864851269400948475e-02 4.499784683334561164e-01 5.118297814325427630e-01 8.220355690394773873e-01 5.110485978268142215e-02 6.548064304015223103e-01
0.000000000000000000e+00 -3.709095454877588054e+04 2.549515903984407306e-01 9.465200299102096704e-01 1.978689354136552447e-01 7.980325008254467445e-01 4.342393867664617879e-01 5.280704536071150201e-01 4.293336515092642802e-01 4.612112171831707075e-01 1.619758451202624183e-01 5.792778432574725578e-01 1.438776812398119276e-01 7.474554401004319670e-01
0.000000000000000000e+00 -3.615281565345272247e+04 6.448646409033960136e-01 7.435491584594660086e-01 7.439893498928191740e-01 9.216432149579519839e-01 8.501905718082464203e-01 5.469206647881441619e-02 3.589423665021238552e-01 8.816258181340974609e-02 7.649903893551007750e-01 2.261893799859040488e-01 4.347814258201325721e-01 6.381870865033535400e-01
0.000000000000000000e+00 -3.568310127771249245e+04 5.394319764555066676e-02 9.683613287717215412e-01 4.744052497778326050e-01 5.871360707512388588e-01 1.383736359102619717e-01 8.650534871152866234e-01 8.358372028141713983e-03 2.996829461339259870e-01 1.715878007065676503e-01 2.323343847450753952e-01 8.595698150538189086e-02 9.102269333003670804e-01
0.000000000000000000e+00 -3.565437709290717612e+04 2.125678192370017427e-02 8.805075975343864547e-01 7.319410462507925930e-01 7.307291346798715503e-01 3.624716607104979671e-01 5.255976681842690068e-01 4.770887987359694327e-01 1.667913426774202401e-01 9.387117237024464877e-01 3.100600230690868653e-01 1.722303152821917926e-01 6.016708597043006757e-01
0.000000000000000000e+00 -3.550860785879968898e+04 1.414130083168710916e-01 6.088531925021298807e-01 6.205444586197306212e-01 8.637608250148327560e-01 9.009037633552041680e-01 8.974241018662332259e-02 8.240433760936267671e-01 1.310929715286347497e-01 4.030146800187358602e-01 7.785851346437215881e-01 3.878471183228441310e-01 8.170018135879119070e-01
0.000000000000000000e+00 -3.527540020489216113e+04 1.413897534611373574e-01 7.575280250000395732e-01 7.398893044316751100e-01 8.705722421957544643e-01 7.994503020310949060e-01 7.785276727894481219e-01 6.396524051009880862e-01 4.006088375143601610e-02 6.595384090830149759e-01 2.787783465302484665e-01 7.211294302106399101e-01 8.295196210295944228e-01
0.000000000000000000e+00 -3.525805966705292667e+04 1.893248980622658229e-01 3.071162458110170412e-01 9.304817103711322535e-01 1.975889050094192800e-02 7.994758580335014075e-01 3.159035370158163047e-01 3.570128521691919854e-01 4.919092932826818476e-02 4.379949608029842789e-01 9.788556036729136878e-01 7.602380025065843538e-01 5.710681949376709143e-01
0.000000000000000000e+00 -3.454882630735758721e+04 2.756331079263358852e-01 7.406176280112062305e-01 6.047785000282362988e-01 8.727749673857697621e-01 8.178854967939233056e-01 4.886025186910459839e-01 4.745444913943835941e-01 2.807627807254207131e-01 1.187644792475168742e-01 4.774469892394717085e-02 7.013913349492375549e-01 6.225742097433557554e-01
0.000000000000000000e+00 -3.373814876428009302e+04 3.170565080397941271e-01 8.566667637726615991e-01 2.576483256461870042e-01 7.370839898402865575e-01 1.701018636123541317e-01 9.267087208003187415e-01 4.556286172871432116e-01 8.250245989807970526e-01 2.100461379002895868e-01 9.594533952871087124e-01 8.084902961986627501e-01 9.750235952817635221e-01
0.000000000000000000e+00 -3.312323947734382091e+04 2.450799336830024044e-01 9.008349404733734245e-01 7.768255946893887209e-01 4.042914768152735538e-01 3.559055163779535347e-01 1.390150430862007180e-01 7.890568151618310155e-01 8.699887136989935543e-01 2.963435740098010474e-01 8.013694506267969864e-01 9.971967101623966379e-01 7.972527830875182353e-01
0.000000000000000000e+00 -3.145544787491600073e+04 2.378666556554254186e-02 7.356419102685404221e-01 5.753324294349591028e-01 8.171115124689433129e-01 4.770912668062863293e-01 2.305742684856776359e-01 1.528293940649755323e-01 9.156515190823567574e-01 8.214434718054474116e-01 9.206893964715937573e-01 1.659573801602881593e-01 6.087901441341377895e-01
0.000000000000000000e+00 -3.145001752165191647e+04 1.287432851347244389e-01 7.087377555037250865e-01 6.275935716431103595e-01 9.636487394738375567e-01 7.925310177426592162e-02 3.764699969613904962e-02 2.540076808820751486e-01 4.501966344542562837e-02 4.912577642789627275e-01 9.713113268318201987e-01 9.719740596154101686e-01 2.108812348900939160e-01
0.000000000000000000e+00 -3.137999357126821269e+04 7.993101045427409845e-01 9.245916736687386228e-01 7.864199904962591026e-01 7.507208246013391539e-01 3.141758221586728461e-01 6.394654975403249453e-02 5.972015751282468976e-01 8.910694864890217337e-02 8.454422088357091969e-01 3.054818094819061747e-01 3.898763870196322312e-01 5.511423416087016802e-01
0.000000000000000000e+00 -3.111042920529083131e+04 4.812994384024769090e-01 2.086957691263446879e-02 8.973198106550234199e-01 3.369756570050476130e-01 5.281114522002251510e-01 1.987616638197239327e-01 3.155839420366434167e-01 7.640012879382793720e-01 2.167041707486271340e-01 9.723278077671387853e-01 2.086702171195462530e-01 1.214085411985768026e-01
