16:55:11 [ultranest] [DEBUG] ReactiveNestedSampler: dims=12+0, resume=False, log_dir=/home/ubuntu/docs_runs/ultranest_noh0_20260813/un_lcdm_noh0_ev_prod, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:55:56 [ultranest] [INFO] Sampling 400 live points from prior ...
16:57:59 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
16:57:59 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
16:57:59 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(400.0)), (np.float64(inf), np.float64(400.0))]
17:12:18 [ultranest] [DEBUG] iteration=0, ncalls=2704, regioncalls=0, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-50024.29, Lmax=-1976.11
17:12:47 [ultranest] [DEBUG] iteration=1, ncalls=2800, regioncalls=0, ndraw=40, logz=-50030.28, remainder_fraction=100.0000%, Lmin=-49872.17, Lmax=-1976.11
17:13:18 [ultranest] [DEBUG] iteration=3, ncalls=2896, regioncalls=0, ndraw=40, logz=-47082.85, remainder_fraction=100.0000%, Lmin=-44538.47, Lmax=-1976.11
17:14:22 [ultranest] [DEBUG] iteration=5, ncalls=3088, regioncalls=0, ndraw=40, logz=-42232.87, remainder_fraction=100.0000%, Lmin=-41896.49, Lmax=-1976.11
17:14:54 [ultranest] [DEBUG] iteration=7, ncalls=3184, regioncalls=0, ndraw=40, logz=-39224.36, remainder_fraction=100.0000%, Lmin=-38390.07, Lmax=-1976.11
17:15:20 [ultranest] [DEBUG] iteration=14, ncalls=3280, regioncalls=0, ndraw=40, logz=-36158.84, remainder_fraction=100.0000%, Lmin=-35683.10, Lmax=-1976.11
17:15:48 [ultranest] [DEBUG] iteration=16, ncalls=3376, regioncalls=0, ndraw=40, logz=-35660.41, remainder_fraction=100.0000%, Lmin=-35508.61, Lmax=-1976.11
17:16:32 [ultranest] [DEBUG] iteration=21, ncalls=3472, regioncalls=0, ndraw=40, logz=-33744.19, remainder_fraction=100.0000%, Lmin=-33123.24, Lmax=-1976.11
17:17:14 [ultranest] [DEBUG] iteration=25, ncalls=3568, regioncalls=0, ndraw=40, logz=-31386.05, remainder_fraction=100.0000%, Lmin=-31110.43, Lmax=-1976.11
17:17:57 [ultranest] [DEBUG] iteration=29, ncalls=3664, regioncalls=0, ndraw=40, logz=-30132.74, remainder_fraction=100.0000%, Lmin=-29970.71, Lmax=-1976.11
17:18:50 [ultranest] [DEBUG] iteration=34, ncalls=3760, regioncalls=0, ndraw=40, logz=-29361.42, remainder_fraction=100.0000%, Lmin=-29261.41, Lmax=-1976.11
17:18:50 [ultranest] [DEBUG] iteration=40, ncalls=3760, regioncalls=0, ndraw=40, logz=-28227.58, remainder_fraction=100.0000%, Lmin=-28064.65, Lmax=-1976.11
17:19:19 [ultranest] [DEBUG] iteration=41, ncalls=3856, regioncalls=0, ndraw=40, logz=-28070.75, remainder_fraction=100.0000%, Lmin=-27843.21, Lmax=-1976.11
