omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
2.245157806193600822e-02 6.854915076192116885e+01 3.071821196098908135e+00 1.180406249893282272e-01 9.707359675472703175e-01 8.759734194914994276e+00 1.005655902233621335e+00 1.004348084145991526e+00 1.004174454627386304e+00 1.002339026956291956e+00 1.002715680042778335e+00 4.982586162820469566e-03
2.255201052135770087e-02 6.877239709704335269e+01 3.055938134272915274e+00 1.173991527469301216e-01 9.762444034163051398e-01 8.423323434965880097e+00 1.001331664687343803e+00 9.975370683081217216e-01 1.005860444015018507e+00 9.996754213787689691e-01 1.006904749993916992e+00 3.201615501717684775e-02
2.242552372857200757e-02 6.882741076378516709e+01 3.059731904993715723e+00 1.178291566118281203e-01 9.723416366302967129e-01 8.769059988072964273e+00 9.991243020168587563e-01 9.984454269432946338e-01 1.004750248647967359e+00 9.978347921242006757e-01 1.000203860094318387e+00 1.323829313887225348e-03
2.231692990974144114e-02 6.856811175021964289e+01 3.033595317778142064e+00 1.180769210816768472e-01 9.750448133020925834e-01 7.549199770692306188e+00 9.989451904784717451e-01 1.000361824264717647e+00 1.001469547954004113e+00 9.983944636969537267e-01 9.978414761738296779e-01 1.303584294292652913e-02
2.251964258183986045e-02 6.864774692928629918e+01 3.048637600621655785e+00 1.176961625089382318e-01 9.731807953877363859e-01 8.128217385828307329e+00 9.993212907119302102e-01 1.002675469539925812e+00 1.000614116254333830e+00 9.968073450120303880e-01 1.003315363456826370e+00 1.702668856385097101e-02
2.254850134944512419e-02 6.884683823700490279e+01 3.057623144424788997e+00 1.175327698824402689e-01 9.766214997755758853e-01 8.525256552245860320e+00 1.000862282153811345e+00 9.996834447718141448e-01 1.002912092613447603e+00 9.959977133611891409e-01 1.003480054240134978e+00 1.017815360487716973e-02
2.247469858237168341e-02 6.846150246923726002e+01 3.056602713508029368e+00 1.184178601475765480e-01 9.720351019501239920e-01 8.440933820455292391e+00 1.000991617183309756e+00 9.991523582690463590e-01 9.994921747295300030e-01 9.971013957771827085e-01 1.001521991522370092e+00 7.615065089386662857e-03
2.257939967941901757e-02 6.901824232944808557e+01 3.043455753175742462e+00 1.172289563519639255e-01 9.762183224914459112e-01 7.960892034182687205e+00 9.998322696823942479e-01 9.981676064877763599e-01 9.983705096608709306e-01 1.001462819711073315e+00 1.005151757793776968e+00 1.472544229827757283e-02
2.253337710803391541e-02 6.860172363205691681e+01 3.045508035531330204e+00 1.184272222661398033e-01 9.686539349179088543e-01 7.847001142423970066e+00 1.002050238564581530e+00 9.998398685969297484e-01 1.005916138639307178e+00 9.942523654284465273e-01 9.977153148330030197e-01 9.573046968748272559e-03
2.248986655655004288e-02 6.865043119014723061e+01 3.047066928651297246e+00 1.180816700743038683e-01 9.726278960818949271e-01 7.885499136986631186e+00 1.002303533385416223e+00 1.001939880191961008e+00 1.001184545198413378e+00 9.978516159287311726e-01 1.001093238149497466e+00 8.871229524543559203e-03
2.265204783244801831e-02 6.862707691693016443e+01 3.058314782777638463e+00 1.183149415361338386e-01 9.688418337162182370e-01 8.412459478708729677e+00 1.000363377400795395e+00 9.983866389968982791e-01 1.004783363467775636e+00 9.993857417287137501e-01 1.002099560833671799e+00 4.435595907468872258e-03
2.264142330931574743e-02 6.895864142764557414e+01 3.054181052501993232e+00 1.175674744065713234e-01 9.721550845167665766e-01 8.302158408251187893e+00 1.000679309574191045e+00 9.978184296744013748e-01 1.004877878790395584e+00 9.959610203361272118e-01 1.001392758803967942e+00 1.779614323257048061e-02
2.264142330931574743e-02 6.895864142764557414e+01 3.054181052501993232e+00 1.175674744065713234e-01 9.721550845167665766e-01 8.302158408251187893e+00 1.000679309574191045e+00 9.978184296744013748e-01 1.004877878790395584e+00 9.959610203361272118e-01 1.001392758803967942e+00 1.779614323257048061e-02
