logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -5.160208800672504731e+04 -5.160808072101174184e+04 2.099999999999999922e-01
-5.160808072101174184e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -4.797523823419505061e+04 -4.798123344848174020e+04 1.895000000000000018e+00
-4.798123344848174020e+04 nan -5.000000000000000104e-03 4.000000000000000000e+02 -4.389347144088391360e+04 -4.389946915517060552e+04 4.299999999999999933e-01
-4.389946915517060552e+04 nan -7.499999999999999722e-03 4.000000000000000000e+02 -4.137586011465239426e+04 -4.138186032893908850e+04 1.735000000000000098e+00
-4.138186032893908850e+04 nan -1.000000000000000021e-02 4.000000000000000000e+02 -4.095906089233401872e+04 -4.096506360662070801e+04 1.179999999999999938e+00
-4.096506360662070801e+04 2.896287761364472772e+03 -1.250000000000000069e-02 4.000000000000000000e+02 -3.938702220971103088e+04 -3.939302742399772251e+04 1.685000000000000053e+00
-3.939302742399772251e+04 7.976127684090661205e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -3.923347251015176153e+04 -3.923948022443845548e+04 3.449999999999999734e-01
-3.923948022443845548e+04 7.244736098730571427e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -3.917067031220936769e+04 -3.917668052649605670e+04 1.705000000000000071e+00
-3.917668052649605670e+04 2.903284652573877622e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -3.897923676177532616e+04 -3.898524947606201749e+04 1.245000000000000107e+00
-3.898524947606201749e+04 9.281560152498310856e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -3.804996638024386630e+04 -3.805598159453055996e+04 5.050000000000000044e-01
-3.805598159453055996e+04 4.719709454278296903e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -3.759401715922664152e+04 -3.760003487351333024e+04 2.099999999999999922e-01
-3.760003487351333024e+04 5.020762910722729657e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -3.751832484352154279e+04 -3.752434505780823383e+04 1.419999999999999929e+00
-3.752434505780823383e+04 4.079560369642419460e+02 -2.999999999999999542e-02 4.000000000000000000e+02 -3.737008330143547937e+04 -3.737610601572217274e+04 1.790000000000000036e+00
-3.737610601572217274e+04 5.515720124824147774e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -3.502037257353709720e+04 -3.502639778782378562e+04 1.090000000000000080e+00
-3.502639778782378562e+04 1.200731688721241653e+03 -3.499999999999999639e-02 4.000000000000000000e+02 -3.476695170612885704e+04 -3.477297942041554779e+04 1.629999999999999893e+00
-3.477297942041554779e+04 1.250023196415040275e+03 -3.749999999999999861e-02 4.000000000000000000e+02 -3.452351287760183914e+04 -3.452954309188853222e+04 1.074999999999999956e+00
-3.452954309188853222e+04 1.244606628724660368e+03 -4.000000000000000083e-02 4.000000000000000000e+02 -3.442933156249584135e+04 -3.443536427678252949e+04 5.000000000000000104e-03
-3.443536427678252949e+04 9.461896105744543206e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -3.403896611195217702e+04 -3.404500132623886748e+04 6.750000000000000444e-01
-3.404500132623886748e+04 2.393936833430370825e+02 -4.500000000000000527e-02 4.000000000000000000e+02 -3.263451379353351149e+04 -3.264055150782020428e+04 1.645000000000000018e+00
-3.264055150782020428e+04 7.372863085500658826e+02 -4.750000000000000749e-02 4.000000000000000000e+02 -3.202607942589014783e+04 -3.203211964017683931e+04 1.405000000000000027e+00
-3.203211964017683931e+04 5.662001924848663066e+02 -5.000000000000000971e-02 4.000000000000000000e+02 -3.191486991835347726e+04 -3.192091263264016743e+04 1.225000000000000089e+00
