weight logl omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
0.000000000000000000e+00 -5.160208800672504731e+04 2.427449804480755202e-02 7.783770156301225995e+01 3.205427002470418341e+00 1.288302351073221108e-01 9.591682489553037261e-01 4.570288392922574161e+00 9.983231538963228680e-01 9.853055426468521061e-01 9.355063586060020642e-01 1.013575523698976300e+00 1.001902346292345092e+00 5.711819006179889024e-01
0.000000000000000000e+00 -4.797523823419505061e+04 2.185918069852315834e-02 7.618332670101958115e+01 3.231375905314306962e+00 1.381748639894028741e-01 9.367117311736453678e-01 7.660987800757236954e+00 9.997311911563898645e-01 9.958462259678688699e-01 1.067259085436591093e+00 1.007994889741781197e+00 1.034212926830501145e+00 5.587597135239268376e-01
0.000000000000000000e+00 -4.389347144088391360e+04 2.022052191815862723e-02 7.628101323996588690e+01 3.191558998304444117e+00 1.167426907873991282e-01 1.021001794090794501e+00 5.666198624653053351e+00 9.941852426527365560e-01 9.992974624216851565e-01 1.028291808226440729e+00 9.777001152053146349e-01 1.001629949556214427e+00 4.520714830830425135e-01
0.000000000000000000e+00 -4.137586011465239426e+04 2.348485012455211324e-02 7.749480255391281958e+01 3.221215497036255204e+00 1.368482945684345031e-01 9.336568551186319453e-01 4.003992735663777225e+00 1.004552512963393873e+00 1.008605903838440288e+00 9.996916188208909704e-01 9.987448989156948453e-01 1.028003331361176942e+00 1.474326775094312592e-01
0.000000000000000000e+00 -4.095906089233401872e+04 2.031626025044477868e-02 7.734624964162718186e+01 3.095983006277435834e+00 1.333356125469105924e-01 9.518520500607177137e-01 5.289466627597930959e+00 1.005096919689546509e+00 1.000714371102272793e+00 1.066251054511287544e+00 1.003914969376866750e+00 9.706702745265318732e-01 3.995164231807150634e-01
0.000000000000000000e+00 -3.938702220971103088e+04 2.135643617947630482e-02 7.726421895535239059e+01 3.004294739459270502e+00 1.372349418560429579e-01 9.290052834135942295e-01 1.079915693157522050e+01 1.005643624300821992e+00 1.010684569976337821e+00 9.993863669590909993e-01 1.009063621603644822e+00 1.019729252769896011e+00 4.384248355868625713e-01
0.000000000000000000e+00 -3.923347251015176153e+04 2.150786330389757584e-02 7.604933489758451515e+01 3.128025492322544565e+00 1.362582294034789532e-01 9.438802325646217239e-01 5.031905527944384282e+00 9.995827228044538160e-01 1.000246508470093332e+00 1.006507248364618023e+00 1.000404219168488762e+00 1.034857112090314946e+00 4.043127136987173520e-01
0.000000000000000000e+00 -3.917067031220936769e+04 2.104915732705165202e-02 7.671148784589657055e+01 3.144436091621808149e+00 1.395766576131153014e-01 9.249235109513418429e-01 7.919809768622605439e+00 9.959292534683232834e-01 9.880778269941130620e-01 9.944300736437572397e-01 9.832869379263616816e-01 9.651527186286910087e-01 1.785223576576862592e-01
0.000000000000000000e+00 -3.897923676177532616e+04 2.367020098898398039e-02 7.780955890503139472e+01 3.085841083019840170e+00 1.381739582108157394e-01 1.007375778974055613e+00 4.264143588361869242e+00 9.943358724894407752e-01 1.007316549335945721e+00 9.562993335715908039e-01 1.013116299238079776e+00 1.018953367914426478e+00 3.138395200608975477e-01
0.000000000000000000e+00 -3.804996638024386630e+04 2.052555240841410014e-02 7.706809601114565567e+01 2.927768384653116840e+00 1.369735227144642520e-01 9.478041169672123401e-01 1.137420014477548591e+01 1.010853166009869408e+00 1.008542653261442545e+00 9.924110373346919367e-01 1.012252247775449865e+00 1.018169061908281714e+00 5.387394126895898860e-02
