weight logl omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
0.000000000000000000e+00 -5.160208800672504731e+04 8.548996089615099603e-01 9.884072545008758537e-01 8.726485784869099094e-01 7.207558776830522707e-01 3.560749905027607021e-01 7.128604911532177013e-02 4.329261558529150511e-01 1.018475489507120191e-02 1.775317930300100988e-01 8.023501937411203766e-01 5.261670741725593681e-01 9.519698343633149484e-01
0.000000000000000000e+00 -4.797523823419505061e+04 3.718361397046315853e-01 8.702376215013987171e-01 9.467883008980194637e-01 9.543715997350719071e-01 1.519248288513211920e-01 4.576234750946546193e-01 4.892476462555956918e-01 3.615408655956290351e-01 8.362954271829553532e-01 6.780599051621643003e-01 9.706042205020770641e-01 9.312661892065448033e-01
0.000000000000000000e+00 -4.389347144088391360e+04 4.410438363172541898e-02 8.772152314261343342e-01 8.330257094412683028e-01 4.185672696849778163e-01 9.181981280981321714e-01 2.082748280816316688e-01 2.674097061094632410e-01 4.765820807228412503e-01 6.414590411322028674e-01 3.343323058230707190e-03 5.224202139781888299e-01 7.534524718050709113e-01
0.000000000000000000e+00 -4.137586011465239426e+04 6.969700249104227030e-01 9.639144681366295098e-01 9.177585629607292184e-01 9.212073642108621341e-01 1.241532283511990187e-01 4.990919579721531107e-04 6.821005185357561507e-01 7.868634612813448781e-01 4.984580941044546298e-01 4.720467464520006207e-01 8.851902525608916772e-01 2.457211291823854227e-01
0.000000000000000000e+00 -4.095906089233401872e+04 6.325205008895584680e-02 9.533035458305132437e-01 5.599514465069596048e-01 8.333903136727646155e-01 2.895640914610700944e-01 1.611833284497413699e-01 7.038767875818632280e-01 5.238123700757643109e-01 8.312552725564373857e-01 5.871930818901290872e-01 9.656498660979140336e-02 6.658607053011917909e-01
0.000000000000000000e+00 -3.938702220971103088e+04 2.712872358952606033e-01 9.474442110965992647e-01 2.979849698836304350e-01 9.308735464010734484e-01 8.186621285085660116e-02 8.498946164469025621e-01 7.257449720328809084e-01 8.561523325445999921e-01 4.969318347954545523e-01 7.018623965177026580e-01 7.713789927083356535e-01 7.307080593114376743e-01
0.000000000000000000e+00 -3.923347251015176153e+04 3.015726607795148340e-01 8.606667783988942722e-01 6.515014066358419953e-01 9.064557350869736352e-01 2.170930233147428945e-01 1.289881909930480353e-01 4.833089121781538600e-01 5.082169490031139825e-01 5.325362418230896733e-01 5.090026540866088300e-01 9.794650906508240995e-01 6.738545228311956237e-01
0.000000000000000000e+00 -3.917067031220936769e+04 2.098314654103305976e-01 9.079634175640410865e-01 6.983888332051664261e-01 9.894164403278823405e-01 4.475919046674348145e-02 4.899762210778256799e-01 3.371701387329300026e-01 1.025942331371033633e-01 4.721503682187860873e-01 1.277714460214181003e-01 2.067013244416782136e-02 2.975372627628104505e-01
0.000000000000000000e+00 -3.897923676177532616e+04 7.340401977967956348e-01 9.863970646450996860e-01 5.309745229138289613e-01 9.543489552703928736e-01 7.943252634005044666e-01 3.301794854523365519e-02 2.734348995776314517e-01 7.438849778648627398e-01 2.814966678579536863e-01 7.921224774627986243e-01 7.607065737885351231e-01 5.230658667681625795e-01
0.000000000000000000e+00 -3.804996638024386630e+04 1.051104816828201116e-01 9.334354293675466430e-01 7.933824186604809814e-02 9.243380678616059942e-01 2.527646997019297181e-01 9.217750180969356277e-01 9.341266403947792174e-01 7.847551087147546234e-01 4.620551866734595725e-01 7.728785696091260426e-01 7.499183206091010190e-01 8.978990211493165230e-02
