05:04:58 [ultranest] [DEBUG] ReactiveNestedSampler: dims=12+0, resume=False, log_dir=/home/ubuntu/docs_runs/ultranest_20260811/un_lcdm_ev_prod, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
05:05:48 [ultranest] [INFO] Sampling 400 live points from prior ...
05:07:56 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
05:07:56 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
05:07:56 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(400.0)), (np.float64(inf), np.float64(400.0))]
05:24:43 [ultranest] [DEBUG] iteration=0, ncalls=2704, regioncalls=0, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-51602.09, Lmax=-1934.42
05:25:42 [ultranest] [DEBUG] iteration=1, ncalls=2800, regioncalls=0, ndraw=40, logz=-51608.08, remainder_fraction=100.0000%, Lmin=-47975.24, Lmax=-1934.42
05:26:17 [ultranest] [DEBUG] iteration=3, ncalls=2896, regioncalls=0, ndraw=40, logz=-43899.47, remainder_fraction=100.0000%, Lmin=-41375.86, Lmax=-1934.42
05:27:15 [ultranest] [DEBUG] iteration=5, ncalls=2992, regioncalls=0, ndraw=40, logz=-40965.06, remainder_fraction=100.0000%, Lmin=-39387.02, Lmax=-1934.42
05:27:43 [ultranest] [DEBUG] iteration=7, ncalls=3088, regioncalls=0, ndraw=40, logz=-39239.48, remainder_fraction=100.0000%, Lmin=-39170.67, Lmax=-1934.42
05:28:58 [ultranest] [DEBUG] iteration=9, ncalls=3280, regioncalls=0, ndraw=40, logz=-38985.25, remainder_fraction=100.0000%, Lmin=-38049.97, Lmax=-1934.42
05:29:33 [ultranest] [DEBUG] iteration=14, ncalls=3376, regioncalls=0, ndraw=40, logz=-35026.40, remainder_fraction=100.0000%, Lmin=-34766.95, Lmax=-1934.42
05:30:06 [ultranest] [DEBUG] iteration=20, ncalls=3472, regioncalls=0, ndraw=40, logz=-32032.12, remainder_fraction=100.0000%, Lmin=-31914.87, Lmax=-1922.91
05:30:39 [ultranest] [DEBUG] iteration=24, ncalls=3568, regioncalls=0, ndraw=40, logz=-31041.56, remainder_fraction=100.0000%, Lmin=-30857.25, Lmax=-1922.91
05:31:34 [ultranest] [DEBUG] iteration=29, ncalls=3664, regioncalls=0, ndraw=40, logz=-29930.93, remainder_fraction=100.0000%, Lmin=-29897.43, Lmax=-1922.91
05:32:33 [ultranest] [DEBUG] iteration=38, ncalls=3760, regioncalls=0, ndraw=40, logz=-27953.51, remainder_fraction=100.0000%, Lmin=-27868.11, Lmax=-1922.91
05:33:26 [ultranest] [DEBUG] iteration=40, ncalls=3856, regioncalls=0, ndraw=40, logz=-27637.42, remainder_fraction=100.0000%, Lmin=-27563.28, Lmax=-1922.91
05:34:21 [ultranest] [DEBUG] iteration=41, ncalls=3952, regioncalls=0, ndraw=40, logz=-27569.37, remainder_fraction=100.0000%, Lmin=-27524.09, Lmax=-1922.91
05:34:56 [ultranest] [DEBUG] iteration=46, ncalls=4048, regioncalls=0, ndraw=40, logz=-27091.18, remainder_fraction=100.0000%, Lmin=-27065.24, Lmax=-1922.91
05:35:31 [ultranest] [DEBUG] iteration=48, ncalls=4144, regioncalls=0, ndraw=40, logz=-26808.13, remainder_fraction=100.0000%, Lmin=-26775.76, Lmax=-1922.91
05:36:29 [ultranest] [DEBUG] iteration=52, ncalls=4240, regioncalls=0, ndraw=40, logz=-25880.35, remainder_fraction=100.0000%, Lmin=-25865.67, Lmax=-1922.91
05:37:22 [ultranest] [DEBUG] iteration=53, ncalls=4336, regioncalls=0, ndraw=40, logz=-25871.80, remainder_fraction=100.0000%, Lmin=-25777.89, Lmax=-1922.91
05:38:15 [ultranest] [DEBUG] iteration=55, ncalls=4432, regioncalls=0, ndraw=40, logz=-25611.76, remainder_fraction=100.0000%, Lmin=-25537.26, Lmax=-1922.91
05:39:00 [ultranest] [DEBUG] iteration=57, ncalls=4528, regioncalls=0, ndraw=40, logz=-25485.23, remainder_fraction=100.0000%, Lmin=-25292.36, Lmax=-1922.91
05:39:49 [ultranest] [DEBUG] iteration=58, ncalls=4624, regioncalls=0, ndraw=40, logz=-25298.49, remainder_fraction=100.0000%, Lmin=-25191.85, Lmax=-1922.91
05:42:14 [ultranest] [DEBUG] iteration=60, ncalls=4912, regioncalls=0, ndraw=40, logz=-25019.09, remainder_fraction=100.0000%, Lmin=-25003.89, Lmax=-1922.91
05:42:52 [ultranest] [DEBUG] iteration=61, ncalls=5008, regioncalls=0, ndraw=40, logz=-25010.04, remainder_fraction=100.0000%, Lmin=-24630.90, Lmax=-1922.91
05:44:27 [ultranest] [DEBUG] iteration=63, ncalls=5200, regioncalls=0, ndraw=40, logz=-24617.03, remainder_fraction=100.0000%, Lmin=-24567.40, Lmax=-1922.91
05:47:28 [ultranest] [DEBUG] iteration=64, ncalls=5584, regioncalls=0, ndraw=40, logz=-24573.55, remainder_fraction=100.0000%, Lmin=-24467.38, Lmax=-1922.91
05:48:27 [ultranest] [DEBUG] iteration=65, ncalls=5680, regioncalls=0, ndraw=40, logz=-24473.53, remainder_fraction=100.0000%, Lmin=-24405.87, Lmax=-1922.91
05:49:53 [ultranest] [DEBUG] iteration=67, ncalls=5872, regioncalls=0, ndraw=40, logz=-24265.58, remainder_fraction=100.0000%, Lmin=-24220.16, Lmax=-1922.91
05:50:51 [ultranest] [DEBUG] iteration=69, ncalls=5968, regioncalls=0, ndraw=40, logz=-24184.09, remainder_fraction=100.0000%, Lmin=-23925.38, Lmax=-1922.91
05:51:44 [ultranest] [DEBUG] iteration=70, ncalls=6064, regioncalls=0, ndraw=40, logz=-23931.54, remainder_fraction=100.0000%, Lmin=-23906.67, Lmax=-1922.91
05:52:20 [ultranest] [DEBUG] iteration=72, ncalls=6160, regioncalls=0, ndraw=40, logz=-23878.50, remainder_fraction=100.0000%, Lmin=-23803.58, Lmax=-1922.91
05:53:43 [ultranest] [DEBUG] iteration=75, ncalls=6352, regioncalls=0, ndraw=40, logz=-23711.20, remainder_fraction=100.0000%, Lmin=-23430.98, Lmax=-1922.91
05:54:15 [ultranest] [DEBUG] iteration=78, ncalls=6448, regioncalls=0, ndraw=40, logz=-23156.81, remainder_fraction=100.0000%, Lmin=-23133.17, Lmax=-1922.91
05:54:45 [ultranest] [DEBUG] iteration=79, ncalls=6544, regioncalls=0, ndraw=40, logz=-23139.36, remainder_fraction=100.0000%, Lmin=-23126.73, Lmax=-1922.91
05:54:45 [ultranest] [DEBUG] iteration=80, ncalls=6544, regioncalls=0, ndraw=40, logz=-23132.92, remainder_fraction=100.0000%, Lmin=-23022.86, Lmax=-1922.91
05:55:21 [ultranest] [DEBUG] iteration=82, ncalls=6640, regioncalls=0, ndraw=40, logz=-22561.90, remainder_fraction=100.0000%, Lmin=-22553.12, Lmax=-1922.91
05:56:10 [ultranest] [DEBUG] iteration=86, ncalls=6736, regioncalls=0, ndraw=40, logz=-22168.44, remainder_fraction=100.0000%, Lmin=-22134.15, Lmax=-1922.91
05:57:43 [ultranest] [DEBUG] iteration=89, ncalls=6928, regioncalls=0, ndraw=40, logz=-21873.15, remainder_fraction=100.0000%, Lmin=-21834.39, Lmax=-1922.91
05:57:43 [ultranest] [DEBUG] iteration=90, ncalls=6928, regioncalls=0, ndraw=40, logz=-21840.60, remainder_fraction=100.0000%, Lmin=-21798.55, Lmax=-1922.91
05:58:13 [ultranest] [DEBUG] iteration=92, ncalls=7024, regioncalls=0, ndraw=40, logz=-21706.18, remainder_fraction=100.0000%, Lmin=-21678.64, Lmax=-1922.91
05:58:47 [ultranest] [DEBUG] iteration=97, ncalls=7120, regioncalls=0, ndraw=40, logz=-20553.99, remainder_fraction=100.0000%, Lmin=-20513.90, Lmax=-1922.91
05:59:39 [ultranest] [DEBUG] iteration=103, ncalls=7216, regioncalls=0, ndraw=40, logz=-19723.63, remainder_fraction=100.0000%, Lmin=-19713.74, Lmax=-1922.91
06:00:10 [ultranest] [DEBUG] iteration=108, ncalls=7312, regioncalls=0, ndraw=40, logz=-19503.12, remainder_fraction=100.0000%, Lmin=-19466.48, Lmax=-1922.91
06:01:03 [ultranest] [DEBUG] iteration=112, ncalls=7408, regioncalls=0, ndraw=40, logz=-19340.88, remainder_fraction=100.0000%, Lmin=-19240.05, Lmax=-1922.91
06:01:33 [ultranest] [DEBUG] iteration=116, ncalls=7504, regioncalls=0, ndraw=40, logz=-19098.50, remainder_fraction=100.0000%, Lmin=-18661.47, Lmax=-1922.91
06:02:46 [ultranest] [DEBUG] iteration=120, ncalls=7696, regioncalls=0, ndraw=40, logz=-18092.85, remainder_fraction=100.0000%, Lmin=-18056.09, Lmax=-1922.91
