omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
2.236616975603112831e-02 6.812336700780278420e+01 3.057285939404899899e+00 1.189451934053060156e-01 9.714771247885248817e-01 8.162764424655115647e+00 1.003891384687863431e+00 1.004980090794498349e+00 1.004878223050758690e+00 9.976541151063339496e-01 1.003296998419937802e+00 2.870214097910772297e-02
2.247380340143153438e-02 6.842211035165648525e+01 3.047625273930878453e+00 1.184084342523599870e-01 9.714369398609636885e-01 7.915550684531219794e+00 1.000504507696893031e+00 9.977816636850632692e-01 1.003664698977226433e+00 9.969773513859240266e-01 9.980380970780623473e-01 3.577789626170747861e-02
2.248705456405617961e-02 6.831273219454590162e+01 3.065707441011613188e+00 1.189791616867030555e-01 9.658331865619408374e-01 8.519623766274385446e+00 1.002192864000952754e+00 1.001847275358773048e+00 1.001443146653840710e+00 9.977448685579302090e-01 1.001620965095792126e+00 7.320583215539033101e-03
2.252472844545606173e-02 6.846471831493504112e+01 3.058237306093976482e+00 1.183827902017551281e-01 9.707518402929045109e-01 8.458423099632344844e+00 1.001782588818605824e+00 9.993128568107720877e-01 1.001723007869204096e+00 1.000985782852283679e+00 1.006167695499352144e+00 1.104481631173263000e-02
2.241112146113004994e-02 6.847088852777483226e+01 3.048653818745827415e+00 1.182495492649954794e-01 9.735600893078217855e-01 7.940678699583153310e+00 1.002059843507974612e+00 1.001750092469059439e+00 1.006543215187985396e+00 9.990409349925271076e-01 1.002747393326014480e+00 1.647137714053309790e-02
2.255218623381524332e-02 6.837698737045617747e+01 3.051166448469535997e+00 1.185994805263043128e-01 9.744583309152482498e-01 8.269216579559518721e+00 9.998222769286435607e-01 1.000658593421567266e+00 1.001937336063308370e+00 9.982707706283924232e-01 1.000351076832112440e+00 2.377486734322223697e-02
2.265271005767496848e-02 6.855102630929964391e+01 3.040429948181877506e+00 1.185526052750528747e-01 9.718452207881402849e-01 7.712014228912694946e+00 9.995136488385836238e-01 9.975677606218301685e-01 1.002666645714326510e+00 9.941180712078281356e-01 9.995234961386494366e-01 1.089590356568113753e-02
2.246065107146470383e-02 6.841911519670864550e+01 3.043653330922860611e+00 1.184849105669579378e-01 9.706638992404601485e-01 7.530167244957066686e+00 1.003705964572931153e+00 1.000532748911399095e+00 1.005948508816220555e+00 9.993007412035204151e-01 1.008042295603179372e+00 7.733457430887290263e-03
2.248531965128914081e-02 6.817888966491793212e+01 3.053803404464063842e+00 1.189889806826462670e-01 9.760247747492452053e-01 8.392329866041109199e+00 9.986938661354350932e-01 9.987981507639999146e-01 1.005885151667457178e+00 1.000732190386558917e+00 9.976654163949195686e-01 1.847393935741997034e-02
2.243525199138100487e-02 6.815930752011306026e+01 3.040720289879190297e+00 1.189293192394058757e-01 9.698650248649821615e-01 7.386147676294999798e+00 1.002518782256941243e+00 1.001521256672129878e+00 1.003835500668988523e+00 1.001707893577569619e+00 9.958300433532584206e-01 1.419891703726052987e-02
2.241347910366780008e-02 6.826673094362584493e+01 3.041410164768088453e+00 1.186643432468398734e-01 9.715963029059476730e-01 7.389526819538723146e+00 1.004090247502915645e+00 1.003626061460655805e+00 1.000274525532047987e+00 1.000364741143930258e+00 1.004219571634015651e+00 7.450321558384721474e-03
2.252003390762266286e-02 6.848761410508653569e+01 3.048267714729487210e+00 1.186207707648984366e-01 9.713505911399069603e-01 8.091346960695140922e+00 9.993190305626991066e-01 1.000194968114565208e+00 1.001399302681321046e+00 9.948296481825583681e-01 9.980283942193204361e-01 2.200049108681262008e-02
2.225343182398409336e-02 6.783663051635031138e+01 3.034928361654122053e+00 1.196614791643376696e-01 9.693763590153453569e-01 7.169164497348856635e+00 1.000087653783131802e+00 1.001037165189414768e+00 1.003015791184628913e+00 9.969756172883957879e-01 1.004194890698206333e+00 1.690546487432916661e-02
