logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -5.234924402403690328e+04 -5.235523673832359782e+04 2.099999999999999922e-01
-5.235523673832359782e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -4.700267238114289648e+04 -4.700866759542958607e+04 6.149999999999999911e-01
-4.700866759542958607e+04 nan -5.000000000000000104e-03 4.000000000000000000e+02 -4.617877063686119072e+04 -4.618476835114788264e+04 5.050000000000000044e-01
-4.618476835114788264e+04 nan -7.499999999999999722e-03 4.000000000000000000e+02 -4.061628593545468175e+04 -4.062228614974137599e+04 1.310000000000000053e+00
-4.062228614974137599e+04 2.727007335669400618e+03 -1.000000000000000021e-02 4.000000000000000000e+02 -3.968413896332291188e+04 -3.969014167760960117e+04 1.415000000000000036e+00
-3.969014167760960117e+04 4.392976994321339816e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -3.806425683950359235e+04 -3.807026205379028397e+04 9.699999999999999734e-01
-3.807026205379028397e+04 7.048634078020970719e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -3.760088077067874838e+04 -3.760688848496544233e+04 1.094999999999999973e+00
-3.760688848496544233e+04 2.288779612118796933e+02 -1.750000000000000167e-02 4.000000000000000000e+02 -3.601918089749695355e+04 -3.602519111178364255e+04 1.905000000000000027e+00
-3.602519111178364255e+04 7.458901969885530434e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -3.576834823047331884e+04 -3.577436094476001017e+04 2.200000000000000011e-01
-3.577436094476001017e+04 6.633133844895014590e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -3.560755562399634800e+04 -3.561357083828304167e+04 4.149999999999999800e-01
-3.561357083828304167e+04 5.381553963942639029e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -3.558069557778986200e+04 -3.558671329207655072e+04 1.544999999999999929e+00
-3.558671329207655072e+04 5.526261581753684595e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -3.533292981454284018e+04 -3.533895002882953122e+04 2.300000000000000100e-01
-3.533895002882953122e+04 6.211565345870748160e+02 -2.999999999999999542e-02 4.000000000000000000e+02 -3.521828465226489061e+04 -3.522430736655158398e+04 9.449999999999999512e-01
-3.522430736655158398e+04 6.492374751244585696e+02 -3.249999999999999417e-02 4.000000000000000000e+02 -3.508548165582911315e+04 -3.509150687011580158e+04 4.099999999999999756e-01
-3.509150687011580158e+04 9.383556305934342845e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -3.472591611869000189e+04 -3.473194383297669265e+04 1.205000000000000071e+00
-3.473194383297669265e+04 1.361180416485985347e+02 -3.749999999999999861e-02 4.000000000000000000e+02 -3.461349453225274920e+04 -3.461952474653944228e+04 4.050000000000000266e-01
-3.461952474653944228e+04 4.845973670393954080e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -3.442930609421451663e+04 -3.443533880850120477e+04 4.450000000000000067e-01
-3.443533880850120477e+04 1.193188788676530265e+02 -4.250000000000000305e-02 4.000000000000000000e+02 -3.394038072714322334e+04 -3.394641594142991380e+04 2.999999999999999889e-01
-3.394641594142991380e+04 2.924485749212494738e+02 -4.500000000000000527e-02 4.000000000000000000e+02 -3.375134374628986552e+04 -3.375738146057655831e+04 1.989999999999999991e+00
-3.375738146057655831e+04 2.390910901897173915e+02 -4.750000000000000749e-02 4.000000000000000000e+02 -3.360176224657335115e+04 -3.360780246086003899e+04 1.215000000000000080e+00
-3.360780246086003899e+04 2.745349977207367829e+02 -5.000000000000000971e-02 4.000000000000000000e+02 -3.359851416538873309e+04 -3.360455687967542326e+04 8.000000000000000444e-01
-3.360451867301181483e+04 4.209696847755076732e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -3.348844880883292353e+04 -3.349449402311961603e+04 1.254999999999999893e+00
-3.349449402311961603e+04 5.205315352687605923e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -3.317062814799516491e+04 -3.317667586228185974e+04 7.199999999999999734e-01
-3.317667586228185974e+04 1.839323998606639918e+02 -5.750000000000001638e-02 4.000000000000000000e+02 -3.316972178225196694e+04 -3.317577199653865682e+04 1.504999999999999893e+00
-3.317543195852426288e+04 1.183355485344499698e+02 -6.000000000000001860e-02 4.000000000000000000e+02 -3.292562833763772505e+04 -3.293168105192441726e+04 1.080000000000000071e+00
-3.293168105192441726e+04 1.815126719497823160e+02 -6.250000000000001388e-02 4.000000000000000000e+02 -3.202040529865529970e+04 -3.202646051294199060e+04 5.450000000000000400e-01
-3.202646051294199060e+04 4.935827702250600737e+02 -6.500000000000001610e-02 4.000000000000000000e+02 -3.130562262812116387e+04 -3.131168034240785346e+04 4.050000000000000266e-01
-3.131168034240785346e+04 7.900838650467330808e+02 -6.750000000000001832e-02 4.000000000000000000e+02 -3.076746776298428813e+04 -3.077352797727098005e+04 3.500000000000000333e-02
-3.077352797727098005e+04 9.401261814361558891e+02 -7.000000000000002054e-02 4.000000000000000000e+02 -2.990925624624841657e+04 -2.991531896053510718e+04 4.249999999999999889e-01
-2.991531896053510718e+04 1.322477959980141804e+03 -7.250000000000002276e-02 4.000000000000000000e+02 -2.984002176181571485e+04 -2.984608697610240779e+04 1.909999999999999920e+00
-2.984608697610240779e+04 1.186718302480316424e+03 -7.500000000000002498e-02 4.000000000000000000e+02 -2.967855532637426222e+04 -2.968462304066095385e+04 2.999999999999999889e-01
-2.968462304066095385e+04 8.759438481124464033e+02 -7.750000000000002720e-02 4.000000000000000000e+02 -2.962061110379492675e+04 -2.962668131808161706e+04 6.800000000000000488e-01
-2.962668131808161706e+04 6.111561970594643611e+01 -8.000000000000002942e-02 4.000000000000000000e+02 -2.949350833000088824e+04 -2.949958104428758088e+04 8.000000000000000167e-02
-2.949958104428758088e+04 6.245303198827036795e+01 -8.250000000000003164e-02 4.000000000000000000e+02 -2.934875866936520833e+04 -2.935483388365189967e+04 1.600000000000000089e+00
-2.935483388365189967e+04 8.185117466061846869e+01 -8.500000000000003386e-02 4.000000000000000000e+02 -2.927901726129515009e+04 -2.928509497558184012e+04 1.215000000000000080e+00
-2.928509497558184012e+04 3.283347419536410428e+01 -8.750000000000003608e-02 4.000000000000000000e+02 -2.892286011276202044e+04 -2.892894032704871279e+04 2.999999999999999889e-01
-2.892894032704871279e+04 1.854305335733315587e+02 -9.000000000000003830e-02 4.000000000000000000e+02 -2.891684496674569527e+04 -2.892292768103238632e+04 1.610000000000000098e+00
