weight logl omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
0.000000000000000000e+00 -5.234924402403690328e+04 2.122335898900100729e-02 7.522757388381496924e+01 3.196842348788663468e+00 1.320458363865401608e-01 1.015460056815444823e+00 4.153379698758307370e+00 9.908497034225802746e-01 1.012127720462171254e+00 9.478113562392311842e-01 1.015934397833626157e+00 1.015088500321554621e+00 3.051485975345423207e-01
0.000000000000000000e+00 -4.700267238114289648e+04 2.070655866413861901e-02 7.679257339724995290e+01 3.152834756645193526e+00 1.302224426828376969e-01 9.884968868895342986e-01 6.691025098209961719e+00 9.949664035074570201e-01 1.004258258281564009e+00 9.779616852773166391e-01 1.009486685300523101e+00 9.878463500950090959e-01 4.949332957845478109e-01
0.000000000000000000e+00 -4.617877063686119072e+04 2.120691712779872173e-02 6.463037867508153056e+01 3.236304405460833422e+00 1.036659834410868786e-01 1.013924658869495454e+00 7.182429353193421129e+00 9.976065631062684957e-01 1.013149754129897495e+00 9.760575401808851970e-01 9.905008682855597213e-01 1.013867135741630010e+00 7.176011924864784952e-02
0.000000000000000000e+00 -4.061628593545468175e+04 2.237253232443065301e-02 7.551266253047899113e+01 2.919737314131352068e+00 1.398404815496911424e-01 9.246209288874879251e-01 1.120991323525975503e+01 1.007163151677843649e+00 9.865110920518961324e-01 9.498340881164326621e-01 1.019010101705474902e+00 1.026722712846989571e+00 3.386205411074240668e-01
0.000000000000000000e+00 -3.968413896332291188e+04 2.169458011325606922e-02 7.453774765031293725e+01 3.211237122448991954e+00 1.275780106291316551e-01 9.603910694991621977e-01 4.697225797040775142e+00 9.911864595335492245e-01 9.918687821248796110e-01 1.085601917403943073e+00 9.998504313326762594e-01 9.686804691293285918e-01 3.565166679216689727e-01
0.000000000000000000e+00 -3.806425683950359235e+04 2.116200860559836611e-02 7.067406102875557394e+01 3.234613425641417184e+00 1.201122623932316391e-01 1.018657633147431962e+00 4.342363395296439776e+00 9.938927321962394146e-01 1.001178784447711134e+00 9.312560991462929261e-01 9.784128363035664577e-01 1.003497865768406161e+00 8.378846187260298450e-02
0.000000000000000000e+00 -3.760088077067874838e+04 2.163323648137987013e-02 6.510259354182039715e+01 3.237045996512380341e+00 1.150404874124211635e-01 1.020994677247308191e+00 4.678675886419317642e+00 1.000126012327573699e+00 1.006761556174199823e+00 9.053900588968706309e-01 9.844701076865566280e-01 1.031141319321811967e+00 2.735409245830514036e-01
0.000000000000000000e+00 -3.601918089749695355e+04 2.445498064256808671e-02 7.630619507806717650e+01 3.246097710032902040e+00 1.373421689750370656e-01 9.581557060176372209e-01 4.621873966912741771e+00 1.000285261438675244e+00 9.918041973234549280e-01 1.073845623196222565e+00 1.003590682219409613e+00 9.956119376720592440e-01 5.485292031023751569e-02
0.000000000000000000e+00 -3.576834823047331884e+04 2.111067355774307042e-02 7.345691492341823903e+01 3.117954817266804124e+00 1.358170864659236365e-01 9.912294859872967656e-01 6.836334577340304364e+00 9.973451335900924697e-01 1.009745763991632739e+00 9.418344817861964424e-01 1.008565658808463494e+00 1.027896898384366819e+00 5.259567882791289506e-01
0.000000000000000000e+00 -3.560755562399634800e+04 2.036995948531473977e-02 7.312720473368726459e+01 3.241674784741785054e+00 1.293734905523077072e-01 9.910699231277715349e-01 1.091936560827285874e+01 1.000225740573873257e+00 9.855145544694952076e-01 1.002110719859113486e+00 1.021212713950620632e+00 9.918002308252169552e-01 5.169680574290987929e-01
0.000000000000000000e+00 -3.558069557778986200e+04 2.037871989893251523e-02 7.470425541417323245e+01 3.218651329444139453e+00 1.304105808456204052e-01 9.975847594511764171e-01 7.666878705266409355e+00 1.008962082052920373e+00 1.011504593104073590e+00 9.138875099558870785e-01 1.022389159495966426e+00 9.650864882681969847e-01 2.415725293628250350e-02
