weight logl omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
0.000000000000000000e+00 -5.234924402403690328e+04 2.446717978002013183e-01 8.019695631296404059e-01 8.481209965390380523e-01 8.011459096635036303e-01 8.678186983222254680e-01 1.917246234478842126e-02 1.339881369032114300e-01 9.042573487390416220e-01 2.390567811961555877e-01 8.548863660050327606e-01 7.075447086871337055e-01 5.085809958909038864e-01
0.000000000000000000e+00 -4.700267238114289648e+04 1.413117328277236906e-01 9.137552426607105094e-01 7.223850189862675020e-01 7.555610670709418386e-01 6.226989717230393406e-01 3.363781372762452149e-01 2.986561402982782498e-01 6.419419427188012284e-01 3.898084263865830845e-01 7.112847505684426475e-01 3.328246230400141448e-01 8.248888263075797589e-01
0.000000000000000000e+00 -4.617877063686119072e+04 2.413834255597444578e-01 4.502704822010894503e-02 9.608697298880950477e-01 9.164958602717165892e-02 8.538605351772315943e-01 3.978036691491776411e-01 4.042625242507376093e-01 9.383251376632510965e-01 3.802877009044255407e-01 2.884380464489911811e-01 6.907446456895443010e-01 1.196001987477464112e-01
0.000000000000000000e+00 -4.061628593545468175e+04 4.745064648861301304e-01 8.223330378913569216e-01 5.639232608957733817e-02 9.960120387422780608e-01 4.200844443170781428e-02 9.012391544074692673e-01 7.865260671137432880e-01 5.036973506320485683e-02 2.491704405821633106e-01 9.233875658234936834e-01 8.675751423244761895e-01 5.643675685123734631e-01
0.000000000000000000e+00 -3.968413896332291188e+04 3.389160226512134555e-01 7.526962607366383118e-01 8.892489212828340595e-01 6.894502657282913782e-01 3.671915409014743226e-01 8.715322463009689269e-02 1.474583813419678702e-01 2.289594041626549226e-01 9.280095870197145880e-01 4.966688492800933608e-01 6.919489861524830143e-02 5.941944465361149730e-01
0.000000000000000000e+00 -3.806425683950359235e+04 2.324017211196731658e-01 4.767186449111128210e-01 9.560383589754772871e-01 5.028065598307909223e-01 8.968875740675626984e-01 4.279542441205497205e-02 2.557092878495753618e-01 5.392928149237062874e-01 1.562804957314645193e-01 1.921684417742552942e-02 5.481136969519398994e-01 1.396474364543383029e-01
0.000000000000000000e+00 -3.760088077067874838e+04 3.266472962759741083e-01 7.875668155859971709e-02 9.629885614639445146e-01 3.760121853105288237e-01 9.181334295209826468e-01 8.483448580241470527e-02 5.050404931029520705e-01 7.253852058066621034e-01 2.695029448435304342e-02 1.541226656248689819e-01 9.283537733399145342e-01 4.559015409717523948e-01
0.000000000000000000e+00 -3.601918089749695355e+04 8.909961285136173137e-01 8.790139341476558288e-01 9.888506000940058271e-01 9.335542243759265002e-01 3.468700547057930184e-01 7.773424586409272141e-02 5.114104575470125313e-01 2.268065774484978592e-01 8.692281159811126034e-01 5.799706507663610067e-01 4.396415085565222869e-01 9.142153385039586411e-02
0.000000000000000000e+00 -3.576834823047331884e+04 2.221347115486141943e-01 6.754939231013028511e-01 6.227280493337257194e-01 8.954271616480906637e-01 6.475407817026979096e-01 3.545418221675380455e-01 3.938053436036981214e-01 8.248587997210938827e-01 2.091724089309819901e-01 6.907719111016359381e-01 8.837262501288417615e-01 8.765946471318816213e-01
0.000000000000000000e+00 -3.560755562399634800e+04 7.399189706294817537e-02 6.519431952633757410e-01 9.762136706908141059e-01 7.343372638076924863e-01 6.460902102524681556e-01 8.649207010341073421e-01 5.090296229549337026e-01 1.715181564984247231e-02 5.105535992955672064e-01 9.724435178311926498e-01 3.872108779259549882e-01 8.616134290484980252e-01
