16:55:27 [ultranest] [DEBUG] ReactiveNestedSampler: dims=12+0, resume=False, log_dir=/home/ubuntu/docs_runs/ultranest_trgb_20260813/un_lcdm_trgb_ev_prod, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:56:10 [ultranest] [INFO] Sampling 400 live points from prior ...
16:58:14 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
16:58:14 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
16:58:14 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(400.0)), (np.float64(inf), np.float64(400.0))]
17:12:03 [ultranest] [DEBUG] iteration=0, ncalls=2704, regioncalls=0, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-52349.24, Lmax=-1922.48
17:12:03 [ultranest] [DEBUG] iteration=40, ncalls=2704, regioncalls=0, ndraw=40, logz=-28362.39, remainder_fraction=100.0000%, Lmin=-28159.64, Lmax=-1922.48
17:12:31 [ultranest] [DEBUG] iteration=45, ncalls=2800, regioncalls=0, ndraw=40, logz=-27486.99, remainder_fraction=100.0000%, Lmin=-27405.34, Lmax=-1922.48
17:13:10 [ultranest] [DEBUG] iteration=56, ncalls=2896, regioncalls=0, ndraw=40, logz=-26051.15, remainder_fraction=100.0000%, Lmin=-26023.83, Lmax=-1922.48
17:13:43 [ultranest] [DEBUG] iteration=69, ncalls=2992, regioncalls=0, ndraw=40, logz=-24923.06, remainder_fraction=100.0000%, Lmin=-24657.81, Lmax=-1922.48
17:14:33 [ultranest] [DEBUG] iteration=73, ncalls=3088, regioncalls=0, ndraw=40, logz=-24269.13, remainder_fraction=100.0000%, Lmin=-23968.49, Lmax=-1922.48
17:15:13 [ultranest] [DEBUG] iteration=74, ncalls=3184, regioncalls=0, ndraw=40, logz=-23974.66, remainder_fraction=100.0000%, Lmin=-23830.27, Lmax=-1922.48
17:15:43 [ultranest] [DEBUG] iteration=75, ncalls=3280, regioncalls=0, ndraw=40, logz=-23836.45, remainder_fraction=100.0000%, Lmin=-23769.98, Lmax=-1922.48
17:19:12 [ultranest] [DEBUG] iteration=76, ncalls=3760, regioncalls=0, ndraw=40, logz=-23776.16, remainder_fraction=100.0000%, Lmin=-23765.00, Lmax=-1922.48
17:19:52 [ultranest] [DEBUG] iteration=77, ncalls=3856, regioncalls=0, ndraw=40, logz=-23771.18, remainder_fraction=100.0000%, Lmin=-23592.26, Lmax=-1922.48
17:21:26 [ultranest] [DEBUG] iteration=78, ncalls=4144, regioncalls=0, ndraw=40, logz=-23598.45, remainder_fraction=100.0000%, Lmin=-23346.62, Lmax=-1922.48
17:22:04 [ultranest] [DEBUG] iteration=79, ncalls=4240, regioncalls=0, ndraw=40, logz=-23352.81, remainder_fraction=100.0000%, Lmin=-23253.78, Lmax=-1922.48
17:26:20 [ultranest] [DEBUG] iteration=80, ncalls=5008, regioncalls=0, ndraw=40, logz=-23259.97, remainder_fraction=100.0000%, Lmin=-23195.53, Lmax=-1922.48
17:26:20 [ultranest] [DEBUG] iteration=90, ncalls=5008, regioncalls=0, ndraw=40, logz=-22815.92, remainder_fraction=100.0000%, Lmin=-22726.15, Lmax=-1922.48
17:27:10 [ultranest] [DEBUG] iteration=99, ncalls=5104, regioncalls=0, ndraw=40, logz=-21551.93, remainder_fraction=100.0000%, Lmin=-21511.74, Lmax=-1922.48
